OIL MARKETS,1998,1999,2000,2001,2002,2003,2004,2005,2006
Demand,,,,,,,,,
OECD,46.9,47.8,47.9,47.9,47.9,48.6,49.4,49.7,49.3
North America,23.1,23.8,24.1,24,24.1,24.5,25.4,25.5,25.3
Europe,15.4,15.3,15.2,15.4,15.3,15.4,15.5,15.6,15.6
Pacific,8.4,8.7,8.6,8.5,8.5,8.6,8.5,8.6,8.4
Non-OECD,27.3,28,28.6,29.2,29.8,30.7,33,34.1,35.4
Total,74.2,75.8,76.5,77.1,77.7,79.3,82.3,83.7,84.7
Supply,,,,,,,,,
OECD,21.9,21.5,21.9,21.8,21.9,21.6,21.2,20.3,20
OPEC total,31,29.6,31,30.5,28.9,30.8,33.1,34.2,34.3
Formar USSR,7.3,7.5,7.9,8.6,9.4,10.3,11.2,11.6,12.2
Other non-OECD,15.7,16,16.2,16.4,16.9,17.1,17.7,18.2,18.7
Total,75.9,74.5,77.1,77.3,77,79.8,83.2,84.4,85.3
Brent crude import price,12.7,17.9,28.4,24.5,25,28,38.2,54.4,65.1
